Brand,Description,Price,Size,Volume,Classification,PurchasePrice,VendorNumber,VendorName_x,VendorName_y,AnnualDemand,AnnualRevenue,FirstSaleDate,LastSaleDate,StoreCount,AvgDailyDemand,UnitsPurchased,PurchaseCost,OrderCount,AvgLeadDays,OpeningStock,ClosingStock,StockTurnover,ClosingDaysCover,GrossProfit,ProfitMarginPct,ReorderSignal,Lifecycle
19890,Voga Prosecco Brut DOCG,16.99,750mL,750,2,11.03,9552,M S WALKER INC             ,M S WALKER INC             ,13.0,214.86999999999998,2024-01-02,2024-10-27,1.0,0.04,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,214.87,100.0,OUT OF STOCK,Regular
19914,Gum Drop Pink Moscato,6.99,750mL,750,2,4.66,7153,PINE STATE TRADING CO      ,PINE STATE TRADING CO      ,92.0,643.08,2024-01-01,2024-10-21,2.0,0.25,83.0,386.78,6.0,7.0,9.0,0.0,1.108,0.0,256.3,39.86,OUT OF STOCK,Fast Mover
19935,Cielo Pnt Grigio,7.99,750mL,750,2,5.26,653,STATE WINE & SPIRITS   ,STATE WINE & SPIRITS   ,725.0,5792.75,2024-01-07,2024-12-27,5.0,1.99,695.0,3655.7,28.0,8.0,68.0,38.0,1.043,19.0,2137.05,36.89,MONITOR,Fast Mover
19952,Yellow Tail Winter Red,14.99,1500mL,1500,2,3.35,4425,MARTIGNETTI COMPANIES,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,OUT OF STOCK,Dead Product
19963,Penya Rouge Vin d Pays,13.99,750mL,750,2,9.2,10754,PERFECTA WINES             ,PERFECTA WINES             ,768.0,8818.32,2024-03-04,2024-12-30,29.0,2.1,1145.0,10534.0,31.0,7.73,16.0,393.0,0.671,187.0,-1715.68,-19.46,HEALTHY,Regular
19966,Ch Alter Ego 10 Brdx,124.99,750mL,750,2,83.89,2000,SOUTHERN WINE & SPIRITS NE ,SOUTHERN WINE & SPIRITS NE ,18.0,2249.82,2024-01-29,2024-10-08,4.0,0.05,3.0,251.67,1.0,8.0,50.0,35.0,6.0,700.0,1998.15,88.81,HEALTHY,Fast Mover
20001,Soter Vyds North Vly Pnt Nr,34.99,750mL,750,2,23.97,4425,MARTIGNETTI COMPANIES,MARTIGNETTI COMPANIES,78.0,2729.2200000000003,2024-01-08,2024-12-23,7.0,0.21,1.0,23.97,1.0,8.0,107.0,30.0,78.0,143.0,2705.25,99.12,HEALTHY,Fast Mover
20008,Steele Out Kaste Lke Cty Red,21.99,750mL,750,2,14.19,9552,M S WALKER INC             ,M S WALKER INC             ,36.0,791.64,2024-01-06,2024-12-24,6.0,0.1,10.0,141.9,3.0,9.67,60.0,34.0,3.6,340.0,649.74,82.08,HEALTHY,Fast Mover
20024,Inglenook Rubicon 09,175.99,750mL,750,2,115.53,2000,SOUTHERN WINE & SPIRITS NE ,SOUTHERN WINE & SPIRITS NE ,53.0,9132.470000000001,2024-01-09,2024-12-24,12.0,0.15,34.0,3928.0199999999995,11.0,8.07,0.0,0.0,1.559,0.0,5204.45,56.99,OUT OF STOCK,Fast Mover
20061,Ch Pavie 10 Brdx,539.99,750mL,750,2,369.86,2000,SOUTHERN WINE & SPIRITS NE ,SOUTHERN WINE & SPIRITS NE ,7.0,3779.9300000000003,2024-05-30,2024-07-28,2.0,0.02,7.0,2589.02,2.0,8.5,36.0,36.0,1.0,1800.0,1190.91,31.51,HEALTHY,End of Life
20062,Ch Angelus 10 Brdx,539.99,750mL,750,2,364.86,2000,SOUTHERN WINE & SPIRITS NE ,SOUTHERN WINE & SPIRITS NE ,6.0,3239.94,2024-05-30,2024-07-28,2.0,0.02,6.0,2189.16,2.0,8.5,36.0,36.0,1.0,1800.0,1050.78,32.43,HEALTHY,End of Life
20063,Ch Cheval Blanc 10 Brdx,2199.99,750mL,750,2,1456.95,2000,SOUTHERN WINE & SPIRITS NE ,SOUTHERN WINE & SPIRITS NE ,8.0,17599.92,2024-05-30,2024-08-21,2.0,0.02,7.0,10198.650000000001,2.0,8.5,18.0,17.0,1.143,850.0,7401.27,42.05,HEALTHY,End of Life
20064,Ch Grand Leoville 10 Brdx,469.99,750mL,750,2,315.43,2000,SOUTHERN WINE & SPIRITS NE ,SOUTHERN WINE & SPIRITS NE ,18.0,8459.82,2024-01-29,2024-09-06,4.0,0.05,16.0,5046.88,3.0,6.67,58.0,56.0,1.125,1120.0,3412.94,40.34,HEALTHY,Fast Mover
20090,Amauta Corte IV -Red Blend,19.99,750mL,750,2,11.99,90017,THE IMPORTED GRAPE LLC     ,THE IMPORTED GRAPE LLC     ,6.0,113.93999999999998,2024-01-09,2024-12-15,1.0,0.02,0.0,0.0,0.0,0.0,10.0,4.0,,200.0,113.94,100.0,HEALTHY,Regular
20091,Dos Minas Malbec,11.99,750mL,750,2,5.51,90017,THE IMPORTED GRAPE LLC     ,THE IMPORTED GRAPE LLC     ,231.0,2739.69,2024-01-03,2024-12-28,11.0,0.63,272.0,1498.72,18.0,7.32,55.0,96.0,0.849,152.0,1240.97,45.3,HEALTHY,Regular
20092,Dos Minas Torrontes,11.99,750mL,750,2,7.53,90017,THE IMPORTED GRAPE LLC     ,THE IMPORTED GRAPE LLC     ,25.0,297.75,2024-01-22,2024-11-30,2.0,0.07,24.0,180.72,2.0,6.0,10.0,9.0,1.042,129.0,117.03,39.3,HEALTHY,Fast Mover
20114,Wolfgang Puck Chard,13.99,750mL,750,2,9.26,8320,SHAW ROSS INT L IMP LTD    ,SHAW ROSS INT L IMP LTD    ,46.0,641.54,2024-01-13,2024-12-24,3.0,0.13,60.0,555.6,3.0,8.0,11.0,25.0,0.767,192.0,85.94,13.4,HEALTHY,Regular
20129,Melee Grenache,32.99,750mL,750,2,15.89,4425,MARTIGNETTI COMPANIES,MARTIGNETTI COMPANIES,6.0,143.94,2024-01-10,2024-02-13,2.0,0.02,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,143.94,100.0,OUT OF STOCK,End of Life
20131,Jos Phelps Insignia 2010 Red,359.99,1500mL,1500,2,235.29,9165,ULTRA BEVERAGE COMPANY LLP ,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,OUT OF STOCK,Dead Product
