Brand,Description,Size,YearMonth,UnitsSold,Revenue,UnitsReceived,PurchaseCost,SupplyGap,CoverRatio,PlanningStatus
4363,Capt Morgan Black Spiced Rum,1.75L,2024-07,219,7224.81,178.0,4223.94,-41.0,0.81,Well Balanced
4363,Capt Morgan Black Spiced Rum,1.75L,2024-08,252,8313.48,257.0,6098.61,5.0,1.02,Well Balanced
4363,Capt Morgan Black Spiced Rum,1.75L,2024-09,187,6169.13,183.0,4342.59,-4.0,0.98,Well Balanced
4363,Capt Morgan Black Spiced Rum,1.75L,2024-10,229,7554.71,167.0,3962.91,-62.0,0.73,Under-Ordered
4363,Capt Morgan Black Spiced Rum,1.75L,2024-11,176,5806.240000000001,202.0,4793.46,26.0,1.15,Well Balanced
4363,Capt Morgan Black Spiced Rum,1.75L,2024-12,246,8115.540000000001,191.0,4532.43,-55.0,0.78,Under-Ordered
4365,Calypso Silver Rum,50mL,2024-10,399,395.01,4592.0,3352.16,4193.0,11.51,Over-Ordered
4365,Calypso Silver Rum,50mL,2024-11,461,456.39,238.0,173.74,-223.0,0.52,Under-Ordered
4365,Calypso Silver Rum,50mL,2024-12,1389,1375.11,1535.0,1120.55,146.0,1.11,Well Balanced
4366,Kracken Black Rum,750mL,2024-06,162,2914.3799999999997,168.0,2488.08,6.0,1.04,Well Balanced
4366,Kracken Black Rum,750mL,2024-07,248,4461.5199999999995,267.0,3954.27,19.0,1.08,Well Balanced
4366,Kracken Black Rum,750mL,2024-08,384,6524.16,516.0,7641.96,132.0,1.34,Well Balanced
4366,Kracken Black Rum,750mL,2024-09,327,5782.73,356.0,5272.36,29.0,1.09,Well Balanced
4366,Kracken Black Rum,750mL,2024-10,210,3777.8999999999996,226.0,3347.06,16.0,1.08,Well Balanced
4366,Kracken Black Rum,750mL,2024-11,239,4299.61,177.0,2621.37,-62.0,0.74,Under-Ordered
4366,Kracken Black Rum,750mL,2024-12,604,10865.96,716.0,10603.96,112.0,1.19,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-01,680,23113.2,919.0,21973.29,239.0,1.35,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-02,751,25526.49,952.0,22762.32,201.0,1.27,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-03,720,24472.8,833.0,19917.03,113.0,1.16,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-04,779,26478.210000000003,727.0,17382.57,-52.0,0.93,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-05,986,32552.140000000003,955.0,22834.05,-31.0,0.97,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-06,1033,34078.67,978.0,23383.98,-55.0,0.95,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-07,1265,41732.35,1206.0,28835.46,-59.0,0.95,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-08,988,33582.12,1001.0,23933.91,13.0,1.01,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-09,703,25710.97,732.0,17502.12,29.0,1.04,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-10,850,29864.5,754.0,18028.14,-96.0,0.89,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-11,919,32155.81,1030.0,24627.3,111.0,1.12,Well Balanced
4368,Capt Morgan Private Stock,1.75L,2024-12,1440,50385.6,948.0,22666.68,-492.0,0.66,Under-Ordered
4370,Ron Virgin White,1.75L,2024-01,663,8558.37,795.0,6328.2,132.0,1.2,Well Balanced
4370,Ron Virgin White,1.75L,2024-02,269,4026.31,309.0,2459.64,40.0,1.15,Well Balanced
4370,Ron Virgin White,1.75L,2024-03,505,6559.95,441.0,3510.3599999999997,-64.0,0.87,Well Balanced
4370,Ron Virgin White,1.75L,2024-04,385,5639.15,406.0,3231.7599999999998,21.0,1.05,Well Balanced
4370,Ron Virgin White,1.75L,2024-05,500,6499.0,637.0,5070.5199999999995,137.0,1.27,Well Balanced
4370,Ron Virgin White,1.75L,2024-06,474,6157.26,463.0,3685.48,-11.0,0.98,Well Balanced
4370,Ron Virgin White,1.75L,2024-07,599,7781.01,1210.0,9631.6,611.0,2.02,Over-Ordered
4370,Ron Virgin White,1.75L,2024-08,530,6884.7,1397.0,11120.119999999999,867.0,2.64,Over-Ordered
4370,Ron Virgin White,1.75L,2024-09,1443,16034.57,1140.0,9074.4,-303.0,0.79,Under-Ordered
4370,Ron Virgin White,1.75L,2024-10,886,9737.14,555.0,4417.8,-331.0,0.63,Under-Ordered
4370,Ron Virgin White,1.75L,2024-11,1102,12110.98,806.0,6415.76,-296.0,0.73,Under-Ordered
4370,Ron Virgin White,1.75L,2024-12,942,10352.58,782.0,6224.719999999999,-160.0,0.83,Well Balanced
4375,Capt Morgan Lime Bite Rum,750mL,2024-05,12,203.88,12.0,155.64,0.0,1.0,Well Balanced
4377,Cruzan 9 Rum,750mL,2024-08,12,155.88,12.0,119.88,0.0,1.0,Well Balanced
4377,Cruzan 9 Rum,750mL,2024-12,12,155.88,36.0,359.64,24.0,3.0,Over-Ordered
4379,Bacardi Coconut,50mL,2024-01,1204,1191.96,33.0,24.09,-1171.0,0.03,Under-Ordered
4379,Bacardi Coconut,50mL,2024-02,995,985.0500000000001,0.0,0.0,-995.0,0.0,No Replenishment
4379,Bacardi Coconut,50mL,2024-03,1008,997.92,1.0,0.73,-1007.0,0.0,Under-Ordered
4379,Bacardi Coconut,50mL,2024-04,842,833.58,106.0,77.38,-736.0,0.13,Under-Ordered
4379,Bacardi Coconut,50mL,2024-05,637,630.63,2.0,1.46,-635.0,0.0,Under-Ordered
4379,Bacardi Coconut,50mL,2024-06,398,394.02,0.0,0.0,-398.0,0.0,No Replenishment
4379,Bacardi Coconut,50mL,2024-07,277,274.23,0.0,0.0,-277.0,0.0,No Replenishment
4379,Bacardi Coconut,50mL,2024-08,156,154.44,0.0,0.0,-156.0,0.0,No Replenishment
4379,Bacardi Coconut,50mL,2024-09,96,95.04,28.0,20.439999999999998,-68.0,0.29,Under-Ordered
4379,Bacardi Coconut,50mL,2024-10,77,76.23,0.0,0.0,-77.0,0.0,No Replenishment
4379,Bacardi Coconut,50mL,2024-11,58,57.42,0.0,0.0,-58.0,0.0,No Replenishment
4379,Bacardi Coconut,50mL,2024-12,63,62.37,0.0,0.0,-63.0,0.0,No Replenishment
4380,Ron Virgin Heavy Bodied Rum,1.75L,2024-01,1179,16494.21,1221.0,13235.640000000001,42.0,1.04,Well Balanced
